ID,Nome,Categoria Pai,Descrição,Meta título,Meta descrição,URL amigável,Ativo
9,Cartas Individuais,Magic: The Gathering,,Cartas Individuais,,cartas-individuais,1
10,Boosters,Magic: The Gathering,,Boosters,,boosters,1
11,Decks,Magic: The Gathering,,Decks,,decks,1
12,Boxes e Displays,Magic: The Gathering,,Boxes e Displays,,boxes-e-displays,1
13,Produtos Selados,Magic: The Gathering,,Produtos Selados,,produtos-selados,1
14,Acessórios,Magic: The Gathering,,Acessórios,,acessórios,1
15,Sleeves,Acessórios,,Sleeves,,sleeves,1
16,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
17,Tapetes,Acessórios,,Tapetes,,tapetes,1
18,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
19,Colecionismo,Magic: The Gathering,,Colecionismo,,colecionismo,1
20,Cartas Individuais,Pokémon,,Cartas Individuais,,cartas-individuais,1
21,Boosters,Pokémon,,Boosters,,boosters,1
22,Decks,Pokémon,,Decks,,decks,1
23,Boxes e Displays,Pokémon,,Boxes e Displays,,boxes-e-displays,1
24,Produtos Selados,Pokémon,,Produtos Selados,,produtos-selados,1
25,Acessórios,Pokémon,,Acessórios,,acessórios,1
26,Sleeves,Acessórios,,Sleeves,,sleeves,1
27,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
28,Tapetes,Acessórios,,Tapetes,,tapetes,1
29,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
30,Colecionismo,Pokémon,,Colecionismo,,colecionismo,1
31,Cartas Individuais,Yu-Gi-Oh!,,Cartas Individuais,,cartas-individuais,1
32,Boosters,Yu-Gi-Oh!,,Boosters,,boosters,1
33,Decks,Yu-Gi-Oh!,,Decks,,decks,1
34,Boxes e Displays,Yu-Gi-Oh!,,Boxes e Displays,,boxes-e-displays,1
35,Produtos Selados,Yu-Gi-Oh!,,Produtos Selados,,produtos-selados,1
36,Acessórios,Yu-Gi-Oh!,,Acessórios,,acessórios,1
37,Sleeves,Acessórios,,Sleeves,,sleeves,1
38,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
39,Tapetes,Acessórios,,Tapetes,,tapetes,1
40,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
41,Colecionismo,Yu-Gi-Oh!,,Colecionismo,,colecionismo,1
42,Cartas Individuais,One Piece,,Cartas Individuais,,cartas-individuais,1
43,Boosters,One Piece,,Boosters,,boosters,1
44,Decks,One Piece,,Decks,,decks,1
45,Boxes e Displays,One Piece,,Boxes e Displays,,boxes-e-displays,1
46,Produtos Selados,One Piece,,Produtos Selados,,produtos-selados,1
47,Acessórios,One Piece,,Acessórios,,acessórios,1
48,Sleeves,Acessórios,,Sleeves,,sleeves,1
49,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
50,Tapetes,Acessórios,,Tapetes,,tapetes,1
51,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
52,Colecionismo,One Piece,,Colecionismo,,colecionismo,1
53,Cartas Individuais,Lorcana,,Cartas Individuais,,cartas-individuais,1
54,Boosters,Lorcana,,Boosters,,boosters,1
55,Decks,Lorcana,,Decks,,decks,1
56,Boxes e Displays,Lorcana,,Boxes e Displays,,boxes-e-displays,1
57,Produtos Selados,Lorcana,,Produtos Selados,,produtos-selados,1
58,Acessórios,Lorcana,,Acessórios,,acessórios,1
59,Sleeves,Acessórios,,Sleeves,,sleeves,1
60,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
61,Tapetes,Acessórios,,Tapetes,,tapetes,1
62,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
63,Colecionismo,Lorcana,,Colecionismo,,colecionismo,1
64,Cartas Individuais,Digimon,,Cartas Individuais,,cartas-individuais,1
65,Boosters,Digimon,,Boosters,,boosters,1
66,Decks,Digimon,,Decks,,decks,1
67,Boxes e Displays,Digimon,,Boxes e Displays,,boxes-e-displays,1
68,Produtos Selados,Digimon,,Produtos Selados,,produtos-selados,1
69,Acessórios,Digimon,,Acessórios,,acessórios,1
70,Sleeves,Acessórios,,Sleeves,,sleeves,1
71,Deck Boxes,Acessórios,,Deck Boxes,,deck-boxes,1
72,Tapetes,Acessórios,,Tapetes,,tapetes,1
73,Contadores e Dados,Acessórios,,Contadores e Dados,,contadores-e-dados,1
74,Colecionismo,Digimon,,Colecionismo,,colecionismo,1
