ID;Nome;Categoria Pai;Descrição;Meta título;Meta descrição;URL amigável;Ativo;id_lang
100;Como Jogar;3;Aprenda os fundamentos de Magic: The Gathering, regras básicas, dicas e estratégias para começar a jogar.;Como Jogar Magic;Guia básico para aprender a jogar Magic: The Gathering.;como-jogar-mtg;1;2
101;How to Play;3;Learn the fundamentals of Magic: The Gathering, basic rules, tips, and strategies to get started.;How to Play Magic;Beginner's guide to learning how to play Magic: The Gathering.;how-to-play-mtg;1;1
102;Como Jogar;4;Conheça as regras essenciais de Pokémon, dicas de jogo e estratégias para novos jogadores.;Como Jogar Pokémon;Guia básico para aprender a jogar Pokémon.;como-jogar-pokemon;1;2
103;How to Play;4;Discover the essential rules of Pokémon, gameplay tips, and strategies for new players.;How to Play Pokémon;Beginner's guide to learning how to play Pokémon.;how-to-play-pokemon;1;1
104;Como Jogar;5;Entenda as regras principais de Yu-Gi-Oh!, com orientações para iniciantes e estratégias de jogo.;Como Jogar Yu-Gi-Oh!;Guia básico para aprender a jogar Yu-Gi-Oh!;como-jogar-yugioh;1;2
105;How to Play;5;Understand the main rules of Yu-Gi-Oh!, with beginner guidance and gameplay strategies.;How to Play Yu-Gi-Oh!;Beginner's guide to learning how to play Yu-Gi-Oh!;how-to-play-yugioh;1;1
106;Como Jogar;6;Aprenda as regras de One Piece TCG, incluindo conceitos básicos e dicas para jogadores iniciantes.;Como Jogar One Piece;Guia básico para aprender a jogar One Piece.;como-jogar-onepiece;1;2
107;How to Play;6;Learn the rules of One Piece TCG, including basic concepts and tips for beginner players.;How to Play One Piece;Beginner's guide to learning how to play One Piece.;how-to-play-onepiece;1;1
108;Como Jogar;7;Descubra os fundamentos de Lorcana, regras essenciais e estratégias para novos jogadores.;Como Jogar Lorcana;Guia básico para aprender a jogar Lorcana.;como-jogar-lorcana;1;2
109;How to Play;7;Discover the basics of Lorcana, essential rules, and strategies for new players.;How to Play Lorcana;Beginner's guide to learning how to play Lorcana.;how-to-play-lorcana;1;1
110;Como Jogar;8;Conheça as regras de Digimon TCG, dicas para iniciantes e estratégias para melhorar seu jogo.;Como Jogar Digimon;Guia básico para aprender a jogar Digimon.;como-jogar-digimon;1;2
111;How to Play;8;Learn the rules of Digimon TCG, tips for beginners, and strategies to improve your gameplay.;How to Play Digimon;Beginner's guide to learning how to play Digimon.;how-to-play-digimon;1;1
